NaceCodeGroup,BelgianMunicipality,Zipcode,Country,EntityCount
43,Zaventem,1930,BEL,955
47,Braine-l'Alleud,1420,BEL,955
47,Seraing,4100,BEL,954
68,Kortrijk,8500,BEL,954
43,Dilbeek,1702,BEL,953
82,Sint-Niklaas,9100,BEL,953
70,Beveren-Kruibeke-Zwijndrecht,9120,BEL,952
62,Hasselt,3500,BEL,949
81,Schaerbeek,1030,BEL,945
74,Liège,4020,BEL,944
32,Antwerpen,2170,BEL,942
47,Zaventem,1930,BEL,942
47,Lommel,3920,BEL,940
43,Uccle,1180,BEL,939
69,Liège,4020,BEL,936
82,Deinze,9800,BEL,935
86,Hasselt,3500,BEL,935
71,Ixelles,1050,BEL,931
85,Mechelen,2800,BEL,926
46,Sint-Niklaas,9100,BEL,925
64,Brugge,8000,BEL,920
56,Leuven,3000,BEL,917
41,Gent,9000,BEL,915
47,Lier,2500,BEL,912
74,Uccle,1180,BEL,912
95,Gent,9032,BEL,910
47,Etterbeek,1040,BEL,909
47,Dilbeek,1702,BEL,907
47,Oudenaarde,9700,BEL,907
46,Aalst,9300,BEL,904
46,Leuven,3001,BEL,893
47,Mol,2400,BEL,892
43,Forest,1190,BEL,889
63,Bruxelles,1000,BEL,889
56,Namur,5000,BEL,888
73,Schaerbeek,1030,BEL,887
43,Grimbergen,1851,BEL,885
47,Aarschot,3200,BEL,885
47,Brasschaat,2930,BEL,885
70,Aalst,9300,BEL,882
43,Ixelles,1050,BEL,877
47,Woluwe-Saint-Lambert,1200,BEL,877
70,Sint-Niklaas,9100,BEL,875
82,Anderlecht,1070,BEL,871
14,Unknown,,BEL,868
64,Bruxelles,1000,BEL,868
64,Kortrijk,8500,BEL,863
70,Watermael-Boitsfort,1170,BEL,859
43,Tielt,8700,BEL,858
47,Nivelles,1400,BEL,855
70,Deinze,9850,BEL,855
82,Etterbeek,1040,BEL,854
70,Lasne,1380,BEL,853
47,Tielt,8700,BEL,850
43,Maldegem,9990,BEL,846
86,Bruxelles,1000,BEL,845
43,Aalter,9880,BEL,844
43,Mechelen,2800,BEL,844
63,Unknown,,BEL,839
43,Oostende,8400,BEL,838
82,Waregem,8790,BEL,837
47,Pelt,3900,BEL,836
73,Mechelen,2800,BEL,836
82,Genk,3600,BEL,836
11,Unknown,,BEL,835
64,Hasselt,3500,BEL,835
46,Waregem,8792,BEL,831
73,Liège,4000,BEL,830
46,Tournai,7540,BEL,829
47,Menen,8930,BEL,829
47,Ninove,9402,BEL,829
74,Hasselt,3500,BEL,828
43,Waregem,8790,BEL,827
46,Schaerbeek,1030,BEL,827
70,Forest,1190,BEL,826
47,Forest,1190,BEL,824
85,Schaerbeek,1030,BEL,823
47,Aalter,9880,BEL,820
66,Antwerpen,2600,BEL,820
96,Leuven,3001,BEL,819
62,Liège,4020,BEL,818
86,Namur,5004,BEL,817
47,Heusden-Zolder,3550,BEL,816
56,Schaerbeek,1030,BEL,816
43,Ninove,9400,BEL,815
82,Knokke-Heist,8300,BEL,815
43,Heusden-Zolder,3550,BEL,814
96,Kortrijk,8500,BEL,812
47,Tienen,3300,BEL,811
56,Hasselt,3500,BEL,809
49,Gent,9000,BEL,800
69,Uccle,1180,BEL,800
70,Braine-l'Alleud,1420,BEL,800
49,Anderlecht,1070,BEL,797
82,Brasschaat,2930,BEL,797
58,Unknown,,BEL,795
70,Wavre,1301,BEL,795
46,Mons,7000,BEL,793
47,Herentals,2200,BEL,791
46,Genk,3600,BEL,790
90,Leuven,3000,BEL,789
56,Oostende,8400,BEL,787
43,Dendermonde,9200,BEL,784
47,Geraardsbergen,9500,BEL,781
47,Maldegem,9990,BEL,781
47,Vilvoorde,1800,BEL,781
71,Leuven,3001,BEL,781
53,Antwerpen,2100,BEL,780
74,Kortrijk,8500,BEL,780
68,Leuven,3000,BEL,779
86,Charleroi,6000,BEL,778
96,Ixelles,1050,BEL,778
70,Saint-Gilles,1060,BEL,777
56,Anderlecht,1070,BEL,774
47,Herstal,4040,BEL,772
82,Woluwe-Saint-Lambert,1200,BEL,772
96,Aalst,9300,BEL,771
46,Zaventem,1930,BEL,770
70,Waregem,8791,BEL,770
43,La Louvière,7100,BEL,763
47,Izegem,8870,BEL,759
43,Knokke-Heist,8300,BEL,756
47,Gembloux,5030,BEL,752
56,Kortrijk,8500,BEL,751
96,Beveren-Kruibeke-Zwijndrecht,2070,BEL,751
68,Namur,5000,BEL,750
43,Evergem,9940,BEL,748
71,Hasselt,3500,BEL,746
47,Sint-Pieters-Leeuw,1600,BEL,745
62,Schaerbeek,1030,BEL,745
85,Kortrijk,8510,BEL,745
81,Molenbeek-Saint-Jean,1080,BEL,739
43,Bilzen-Hoeselt,3740,BEL,738
62,Woluwe-Saint-Lambert,1200,BEL,738
70,Auderghem,1160,BEL,738
47,Merelbeke-Melle,9090,BEL,737
82,Mons,7000,BEL,737
47,Asse,1731,BEL,735
47,Halle,1500,BEL,735
90,Brugge,8000,BEL,735
47,Wevelgem,8560,BEL,733
70,Overijse,3090,BEL,733
81,Jette,1090,BEL,733
41,Bruxelles,1000,BEL,732
47,Grimbergen,1850,BEL,732
43,Brecht,2960,BEL,731
47,Schoten,2900,BEL,731
68,Charleroi,6001,BEL,730
70,Anderlecht,1070,BEL,729
77,Gent,9051,BEL,729
63,Leuven,3001,BEL,728
47,Diest,3290,BEL,727
74,Mechelen,2800,BEL,727
90,Liège,4020,BEL,727
70,Zaventem,1930,BEL,726
46,Beveren-Kruibeke-Zwijndrecht,9130,BEL,725
47,Oostkamp,8020,BEL,725
70,Dilbeek,1702,BEL,722
86,Uccle,1180,BEL,722
68,Roeselare,8800,BEL,721
43,Wingene,8750,BEL,718
56,Mons,7021,BEL,718
47,Temse,9140,BEL,716
33,Antwerpen,2660,BEL,713
46,Oostende,8400,BEL,712
47,Houthalen-Helchteren,3530,BEL,712
47,Evergem,9940,BEL,711
70,Merelbeke-Melle,9820,BEL,711
70,Grimbergen,1850,BEL,710
70,Oostende,8400,BEL,708
43,Mons,7000,BEL,707
46,Deinze,9800,BEL,707
82,Merelbeke-Melle,9820,BEL,706
96,Oostende,8400,BEL,705
85,Charleroi,6001,BEL,703
96,Genk,3600,BEL,702
43,Tongeren-Borgloon,3700,BEL,701
62,Brugge,8200,BEL,701
74,Namur,5100,BEL,701
90,Schaerbeek,1030,BEL,701
82,Saint-Gilles,1060,BEL,700
46,Knokke-Heist,8300,BEL,699
78,Antwerpen,2000,BEL,697
96,Mons,7000,BEL,697
47,Jette,1090,BEL,694
90,Uccle,1180,BEL,694
62,Etterbeek,1040,BEL,692
43,Houthalen-Helchteren,3530,BEL,691
95,Charleroi,6061,BEL,691
96,Sint-Niklaas,9111,BEL,691
43,Geraardsbergen,9500,BEL,690
73,Kortrijk,8510,BEL,690
70,Kapellen,2950,BEL,689
82,Schilde,2970,BEL,689
88,Unknown,,BEL,687
49,Molenbeek-Saint-Jean,1080,BEL,686
56,Mechelen,2800,BEL,685
43,Wevelgem,8560,BEL,683
47,Brecht,2960,BEL,683
47,Lochristi,9080,BEL,683
43,Ieper,8900,BEL,682
18,Antwerpen,2018,BEL,681
46,Molenbeek-Saint-Jean,1080,BEL,681
74,Schaerbeek,1030,BEL,681
71,Uccle,1180,BEL,680
82,Woluwe-Saint-Pierre,1150,BEL,680
85,Mons,7021,BEL,680
43,Saint-Gilles,1060,BEL,679
47,Harelbeke,8530,BEL,678
96,Uccle,1180,BEL,678
47,Ath,7822,BEL,675
82,Zaventem,1930,BEL,675
96,Mechelen,2800,BEL,674
43,Izegem,8870,BEL,673
70,Charleroi,6060,BEL,672
43,Sint-Truiden,3800,BEL,670
82,Forest,1190,BEL,670
43,Tournai,7500,BEL,668
46,Wavre,1300,BEL,668
47,Sambreville,5060,BEL,668
70,Schoten,2900,BEL,667
43,Koekelberg,1081,BEL,664
43,Leuven,3012,BEL,664
62,Namur,5101,BEL,662
56,Saint-Gilles,1060,BEL,660
82,Grimbergen,1850,BEL,660
82,Molenbeek-Saint-Jean,1080,BEL,658
