EnterpriseCount,BelgianMunicipality,Zipcode,Country
981,Niel,2845,BEL
981,Hoegaarden,3320,BEL
977,Nieuwerkerken (Limb.),3850,BEL
965,Linter,3350,BEL
962,Lint,2547,BEL
958,Nandrin,4550,BEL
952,Ramillies,1367,BEL
933,Erquelinnes,6560,BEL
931,Lendelede,8860,BEL
924,Anhée,5537,BEL
921,Geetbets,3450,BEL
910,Estinnes,7120,BEL
889,Vorselaar,2290,BEL
888,Glabbeek,3380,BEL
887,Büllingen,4761,BEL
883,Lierde,9570,BEL
875,Somme-Leuze,5377,BEL
870,Saint-Georges-sur-Meuse,4470,BEL
867,Brunehaut,7620,BEL
858,Bouillon,6830,BEL
852,Havelange,5374,BEL
851,Ellezelles,7890,BEL
846,Braives,4260,BEL
838,Amel,4770,BEL
833,Paliseul,6850,BEL
826,Libin,6890,BEL
823,La Roche-en-Ardenne,6980,BEL
805,Vaux-sur-Sûre,6640,BEL
802,Celles (lez-Tournai),7760,BEL
793,Linkebeek,1630,BEL
782,Houffalize,6660,BEL
780,Habay,6724,BEL
780,Bütgenbach,4750,BEL
776,Aubel,4880,BEL
774,Saint-Hubert,6870,BEL
772,Florenville,6821,BEL
762,Ohey,5350,BEL
761,Ferrières,4190,BEL
759,Pecq,7740,BEL
752,Kelmis,4720,BEL
751,Pepingen,1670,BEL
751,Hotton,6990,BEL
745,Messancy,6780,BEL
742,Farciennes,6240,BEL
735,Chièvres,7950,BEL
729,Limbourg,4830,BEL
725,Remicourt,4350,BEL
725,Gouvy,6670,BEL
724,Nassogne,6950,BEL
721,Quiévrain,7380,BEL
710,Lontzen,4710,BEL
709,Clavier,4560,BEL
698,Houyet,5560,BEL
696,Lo-Reninge,8647,BEL
686,Verlaine,4537,BEL
683,Héron,4218,BEL
673,Lobbes,6540,BEL
667,Léglise,6860,BEL
661,Antoing,7640,BEL
660,Gedinne,5575,BEL
657,Voeren,3798,BEL
622,Marchin,4570,BEL
612,Sivry-Rance,6470,BEL
612,Etalle,6740,BEL
609,Vleteren,8640,BEL
607,Chiny,6810,BEL
605,Manhay,6960,BEL
598,Honnelles,7387,BEL
597,Viroinval,5670,BEL
596,Zuienkerke,8377,BEL
589,Hensies,7350,BEL
588,Engis,4480,BEL
584,Modave,4577,BEL
582,Cerfontaine,5630,BEL
572,Bièvre,5555,BEL
571,Lens (Hainaut),7870,BEL
567,Momignies,6590,BEL
565,Lierneux,4990,BEL
565,Baelen,4837,BEL
553,Comblain-au-Pont,4170,BEL
546,Oreye,4360,BEL
545,Faimes,4317,BEL
531,Olne,4877,BEL
530,Anthisnes,4160,BEL
519,Burg-Reuland,4791,BEL
514,Stoumont,4987,BEL
514,Mont-de-l'Enclus,7750,BEL
513,Crisnée,4367,BEL
511,Hastière,5540,BEL
507,Froidchapelle,6440,BEL
495,Erezée,6997,BEL
492,Flobecq,7880,BEL
489,Geer,4250,BEL
479,Tinlot,4557,BEL
477,Tintigny,6730,BEL
469,Rumes,7618,BEL
469,Burdinne,4210,BEL
457,Wellin,6920,BEL
453,Onhaye,5520,BEL
452,Tenneville,6970,BEL
451,Vresse-sur-Semois,5550,BEL
443,Baarle-Hertog,2387,BEL
433,Rendeux,6987,BEL
433,Hamoir,4180,BEL
430,Merbes-le-Château,6567,BEL
430,Donceel,4357,BEL
424,Sainte-Ode,6680,BEL
424,Attert,6717,BEL
420,Fexhe-le-Haut-Clocher,4347,BEL
417,Brugelette,7940,BEL
406,Ouffet,4590,BEL
402,Wasseiges,4219,BEL
402,Hélécine,1357,BEL
401,Trois-Ponts,4980,BEL
380,Doische,5680,BEL
361,Beveren,9120,BEL
357,Horebeke,9667,BEL
340,Bever,1547,BEL
337,Tellin,6927,BEL
332,Berloz,4257,BEL
325,Spiere-Helkijn,8587,BEL
325,Lincent,4287,BEL
316,Fauvillers,6637,BEL
293,Musson,6750,BEL
271,Saint-Léger (Lux.),6747,BEL
257,Nazareth,9810,BEL
255,Meix-devant-Virton,6769,BEL
213,Herbeumont,6887,BEL
200,Rouvroy,6767,BEL
