EnterpriseCount,NaceCodeGroup,JuridicalForm,Code,Description
6,14,12.0,012,Société en commandite simple
6,14,3.0,003,Unité TVA
4,14,30.0,030,Entité étrangère
4,14,8.0,008,Société coopérative à responsabilité limitée
3,14,706.0,706,Société coopérative
2,14,16.0,016,Société coopérative (ancien statut)
2,14,6.0,006,Société coopérative à responsabilité illimitée
1,14,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,14,13.0,013,Société en commandite par actions
1335,14,,,
252,14,721.0,721,Société ou association sans personnalité juridique
196,14,612.0,612,Société en commandite
190,14,610.0,610,Société à responsabilité limitée
23,14,15.0,015,Société privée à responsabilité limitée
22,14,14.0,014,Société anonyme
22,14,11.0,011,Société en nom collectif
14,14,25.0,025,Société agricole
6,14,12.0,012,Société en commandite simple
4,14,706.0,706,Société coopérative
3,14,17.0,017,Association sans but lucratif
3,14,3.0,003,Unité TVA
1,14,30.0,030,Entité étrangère
1,14,16.0,016,Société coopérative (ancien statut)
1695,14,,,
1649,14,610.0,610,Société à responsabilité limitée
202,14,15.0,015,Société privée à responsabilité limitée
168,14,14.0,014,Société anonyme
158,14,612.0,612,Société en commandite
107,14,11.0,011,Société en nom collectif
61,14,12.0,012,Société en commandite simple
49,14,721.0,721,Société ou association sans personnalité juridique
47,14,17.0,017,Association sans but lucratif
24,14,3.0,003,Unité TVA
7,14,25.0,025,Société agricole
6,14,8.0,008,Société coopérative à responsabilité limitée
4,14,30.0,030,Entité étrangère
3,14,6.0,006,Société coopérative à responsabilité illimitée
1,14,706.0,706,Société coopérative
1,14,117.0,117,Association sans but lucratif de droit public
1,14,16.0,016,Société coopérative (ancien statut)
40,14,,,
14,14,610.0,610,Société à responsabilité limitée
3,14,612.0,612,Société en commandite
3,14,14.0,014,Société anonyme
1386,14,,,
247,14,610.0,610,Société à responsabilité limitée
90,14,14.0,014,Société anonyme
76,14,721.0,721,Société ou association sans personnalité juridique
55,14,612.0,612,Société en commandite
53,14,15.0,015,Société privée à responsabilité limitée
24,14,17.0,017,Association sans but lucratif
19,14,11.0,011,Société en nom collectif
9,14,706.0,706,Société coopérative
9,14,12.0,012,Société en commandite simple
4,14,8.0,008,Société coopérative à responsabilité limitée
3,14,25.0,025,Société agricole
2,14,30.0,030,Entité étrangère
2,14,16.0,016,Société coopérative (ancien statut)
1,14,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
1,14,6.0,006,Société coopérative à responsabilité illimitée
1,14,3.0,003,Unité TVA
800,14,,,
378,14,610.0,610,Société à responsabilité limitée
201,14,612.0,612,Société en commandite
89,14,721.0,721,Société ou association sans personnalité juridique
82,14,14.0,014,Société anonyme
62,14,15.0,015,Société privée à responsabilité limitée
16,14,11.0,011,Société en nom collectif
10,14,25.0,025,Société agricole
9,14,12.0,012,Société en commandite simple
8,14,30.0,030,Entité étrangère
5,14,17.0,017,Association sans but lucratif
5,14,3.0,003,Unité TVA
4,14,8.0,008,Société coopérative à responsabilité limitée
3,14,706.0,706,Société coopérative
1,14,6.0,006,Société coopérative à responsabilité illimitée
655,14,,,
352,14,610.0,610,Société à responsabilité limitée
181,14,612.0,612,Société en commandite
110,14,721.0,721,Société ou association sans personnalité juridique
53,14,15.0,015,Société privée à responsabilité limitée
52,14,14.0,014,Société anonyme
19,14,11.0,011,Société en nom collectif
14,14,12.0,012,Société en commandite simple
12,14,25.0,025,Société agricole
5,14,3.0,003,Unité TVA
3,14,706.0,706,Société coopérative
3,14,6.0,006,Société coopérative à responsabilité illimitée
2,14,8.0,008,Société coopérative à responsabilité limitée
1,14,30.0,030,Entité étrangère
526,14,,,
284,14,610.0,610,Société à responsabilité limitée
123,14,612.0,612,Société en commandite
68,14,14.0,014,Société anonyme
