NaceCodeGroup,CreationYear,EntityCount
51,1940-1959,3
97,Before 1920,3
12,1920-1939,2
12,1940-1959,2
19,1920-1939,2
19,1940-1959,2
21,Before 1920,2
29,1920-1939,2
29,Before 1920,2
30,1920-1939,2
30,1940-1959,2
31,1920-1939,2
35,Before 1920,2
37,1940-1959,2
39,1940-1959,2
42,Before 1920,2
53,1940-1959,2
58,Before 1920,2
59,Before 1920,2
60,1920-1939,2
60,1940-1959,2
61,1920-1939,2
63,Before 1920,2
80,1940-1959,2
86,Before 1920,2
88,Before 1920,2
92,1940-1959,2
97,1940-1959,2
12,Before 1920,1
13,Before 1920,1
16,Before 1920,1
17,Before 1920,1
31,Before 1920,1
38,Before 1920,1
51,Before 1920,1
53,1920-1939,1
53,Before 1920,1
60,Before 1920,1
61,1940-1959,1
74,1920-1939,1
75,1920-1939,1
75,1940-1959,1
78,1920-1939,1
80,Before 1920,1
89,1920-1939,1
89,Before 1920,1
91,Before 1920,1
99,1920-1939,1
