NaceCodeGroup,NaceDescription_FR,JuridicalForm,JuridicalForm_FR,EnterpriseCount
21,Industrie pharmaceutique,,,1444
61,Télécommunications,610.0,,1443
74,"Autres activités spécialisées, scientifiques et techniques",11.0,,1427
93,Activités sportives et activités récréatives et de loisirs,612.0,,1422
56,Activités de service de restauration,612.0,,1418
46,Commerce de gros,3.0,,1417
66,Activités auxiliaires d’activités de services financiers et d’assurance,14.0,,1391
62,"Programmation, conseil et autres activités informatiques",11.0,,1389
93,Activités sportives et activités récréatives et de loisirs,15.0,,1375
81,Activités de services pour les bâtiments et l’aménagement paysager,11.0,,1373
73,"Activités de publicité, d’études de marché et de relations publiques",12.0,,1334
62,"Programmation, conseil et autres activités informatiques",12.0,,1326
96,Activités de services aux personnes,11.0,,1322
24,Métallurgie,,,1299
94,Activités des organisations associatives,124.0,,1293
60,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu",,,1269
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",15.0,,1265
85,Enseignement,15.0,,1262
43,Travaux de construction spécialisés,721.0,,1257
87,Activités de soins en établissement résidentiel,17.0,,1244
86,Activités pour la santé humaine,11.0,,1243
46,Commerce de gros,12.0,,1223
14,Industrie de l’habillement,612.0,,1205
10,Industries alimentaires,14.0,,1201
49,Transports terrestres et transports par conduites,30.0,,1160
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",612.0,,1141
38,"Collecte, valorisation et élimination des déchets;",610.0,,1130
27,Fabrication d’équipements électriques,610.0,,1123
96,Activités de services aux personnes,17.0,,1118
55,Hébergement,14.0,,1093
41,Construction de bâtiments résidentiels et non résidentiels,721.0,,1090
66,Activités auxiliaires d’activités de services financiers et d’assurance,3.0,,1089
72,Recherche et développement scientifique,,,1089
68,Activités immobilières,11.0,,1083
90,Activités de création artistique et de spectacle,15.0,,1083
11,Fabrication de boissons,721.0,,1082
86,Activités pour la santé humaine,721.0,,1074
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",610.0,,1063
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",612.0,,1056
21,Industrie pharmaceutique,610.0,,1052
80,Activités d’investigation et de sécurité,610.0,,1044
35,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné",,,1042
